原始列名,题目编号,变量名,问题文本,选项,编码说明
语言,0,Q0,语言,,分类型(1类)
清洗数据结果,0,Q0,清洗数据结果,,分类型(1类)
智能清洗数据无效概率,0,Q0,智能清洗数据无效概率,,未知
地理位置国家和地区,0,Q0,地理位置国家和地区,,分类型(1类)
地理位置省,0,Q0,地理位置省,,文本
地理位置市,0,Q0,地理位置市,,文本
自定义字段,0,Q0,自定义字段,,未知
IP,0,Q0,IP,,文本
UA,0,Q0,UA,,文本
Unnamed: 128,0,Q0_01,Unnamed,128,未知
1.您在过去一年中绝大部分时间（指在9个月以上）居住在？,1,Q1,您在过去一年中绝大部分时间（指在9个月以上）居住在？,,离散编码(1~2)
2.您现在有工作吗？,2,Q2,您现在有工作吗？,,离散编码(2~3)
3.您的年龄是？,3,Q3,您的年龄是？,,数值型
4.您的常住地在？,4,Q4,您的常住地在？,,离散编码(1~5)
5.您有多少个孩子？,5,Q5,您有多少个孩子？,,离散编码(1~4)
6.您一般每天会在家务劳动（如：买菜做饭、做卫生、照顾孩子等）上花费多少个小时？,6,Q6_01,您一般每天会在家务劳动（如,买菜做饭、做卫生、照顾孩子等）上花费多少个小时？,数值型
7.除了睡觉时间外，您每天的闲暇时间（即没有事情做的时间）有多少个小时？,7,Q7,除了睡觉时间外，您每天的闲暇时间（即没有事情做的时间）有多少个小时？,,数值型
8.您现在希望拥有工作吗?,8,Q8,您现在希望拥有工作吗?,,离散编码(1~2)
9.您想参加工作的主要原因是什么？:增加家庭收入，改善家庭经济条件,9,Q9_01,您想参加工作的主要原因是什么？,增加家庭收入，改善家庭经济条件,"多选-指示变量(1=选择该项, 未选空/0)"
9.您想参加工作的主要原因是什么？:结识更多的人，拓宽社交圈子,9,Q9_02,您想参加工作的主要原因是什么？,结识更多的人，拓宽社交圈子,"多选-指示变量(1=选择该项, 未选空/0)"
9.您想参加工作的主要原因是什么？:获得社会认可，实现个人价值,9,Q9_03,您想参加工作的主要原因是什么？,获得社会认可，实现个人价值,"多选-指示变量(1=选择该项, 未选空/0)"
9.您想参加工作的主要原因是什么？:学习新的技能，充实自身 ,9,Q9_04,您想参加工作的主要原因是什么？,学习新的技能，充实自身,"多选-指示变量(1=选择该项, 未选空/0)"
9.您想参加工作的主要原因是什么？:响应政策鼓励，如政府扶持的乡村振兴项目或技能培训计划等,9,Q9_05,您想参加工作的主要原因是什么？,响应政策鼓励，如政府扶持的乡村振兴项目或技能培训计划等,"多选-指示变量(1=选择该项, 未选空/0)"
9.您想参加工作的主要原因是什么？:其他（请注明：____{fillblank-e7a9}）,9,Q9_06,您想参加工作的主要原因是什么？:其他（请注明,____{fillblank-e7a9}）,未知
9.您想参加工作的主要原因是什么？:其他（请注明：____{fillblank-e7a9}）[选项填空],9,Q9_07,您想参加工作的主要原因是什么？:其他（请注明,____{fillblank-e7a9}）[选项填空],未知
10.您不想参加工作的主要原因是什么？:需要全职照顾孩子/老人,10,Q10_01,您不想参加工作的主要原因是什么？,需要全职照顾孩子/老人,"多选-指示变量(1=选择该项, 未选空/0)"
10.您不想参加工作的主要原因是什么？:身体健康条件不允许,10,Q10_02,您不想参加工作的主要原因是什么？,身体健康条件不允许,"多选-指示变量(1=选择该项, 未选空/0)"
10.您不想参加工作的主要原因是什么？:认为自己作为女性不该外出工作,10,Q10_03,您不想参加工作的主要原因是什么？,认为自己作为女性不该外出工作,"多选-指示变量(1=选择该项, 未选空/0)"
10.您不想参加工作的主要原因是什么？:周边没有适合的工作机会,10,Q10_04,您不想参加工作的主要原因是什么？,周边没有适合的工作机会,"多选-指示变量(1=选择该项, 未选空/0)"
10.您不想参加工作的主要原因是什么？:现有技能达不到工作要求,10,Q10_05,您不想参加工作的主要原因是什么？,现有技能达不到工作要求,"多选-指示变量(1=选择该项, 未选空/0)"
10.您不想参加工作的主要原因是什么？:家庭收入已经满足生活需求，无需再参与工作,10,Q10_06,您不想参加工作的主要原因是什么？,家庭收入已经满足生活需求，无需再参与工作,"多选-指示变量(1=选择该项, 未选空/0)"
10.您不想参加工作的主要原因是什么？:其他（请注明：____{fillblank-9dd1}）,10,Q10_07,您不想参加工作的主要原因是什么？:其他（请注明,____{fillblank-9dd1}）,未知
10.您不想参加工作的主要原因是什么？:其他（请注明：____{fillblank-9dd1}）[选项填空],10,Q10_08,您不想参加工作的主要原因是什么？:其他（请注明,____{fillblank-9dd1}）[选项填空],未知
11.您希望它是全职还是兼职工作？,11,Q11,您希望它是全职还是兼职工作？,,离散编码(1~2)
12.（多选，最多选3项）请问您为什么希望这份工作是全职？:稳定且可预期的收入,12,Q12_01,（多选，最多选3项）请问您为什么希望这份工作是全职？,稳定且可预期的收入,"多选-指示变量(1=选择该项, 未选空/0)"
12.（多选，最多选3项）请问您为什么希望这份工作是全职？:享受完整的员工福利（社保、医保、休假等）,12,Q12_02,（多选，最多选3项）请问您为什么希望这份工作是全职？,享受完整的员工福利（社保、医保、休假等）,"多选-指示变量(1=选择该项, 未选空/0)"
12.（多选，最多选3项）请问您为什么希望这份工作是全职？:更清晰的职业发展和晋升机会,12,Q12_03,（多选，最多选3项）请问您为什么希望这份工作是全职？,更清晰的职业发展和晋升机会,"多选-指示变量(1=选择该项, 未选空/0)"
12.（多选，最多选3项）请问您为什么希望这份工作是全职？:深入参与工作，获得全面经验,12,Q12_04,（多选，最多选3项）请问您为什么希望这份工作是全职？,深入参与工作，获得全面经验,"多选-指示变量(1=选择该项, 未选空/0)"
12.（多选，最多选3项）请问您为什么希望这份工作是全职？:看重工作稳定性和安全感,12,Q12_05,（多选，最多选3项）请问您为什么希望这份工作是全职？,看重工作稳定性和安全感,"多选-指示变量(1=选择该项, 未选空/0)"
12.（多选，最多选3项）请问您为什么希望这份工作是全职？:建立团队归属感,12,Q12_06,（多选，最多选3项）请问您为什么希望这份工作是全职？,建立团队归属感,"多选-指示变量(1=选择该项, 未选空/0)"
12.（多选，最多选3项）请问您为什么希望这份工作是全职？:便于个人生活和财务规划,12,Q12_07,（多选，最多选3项）请问您为什么希望这份工作是全职？,便于个人生活和财务规划,"多选-指示变量(1=选择该项, 未选空/0)"
12.（多选，最多选3项）请问您为什么希望这份工作是全职？:满足事业心和成就感,12,Q12_08,（多选，最多选3项）请问您为什么希望这份工作是全职？,满足事业心和成就感,"多选-指示变量(1=选择该项, 未选空/0)"
12.（多选，最多选3项）请问您为什么希望这份工作是全职？:承担更重要的职责,12,Q12_09,（多选，最多选3项）请问您为什么希望这份工作是全职？,承担更重要的职责,"多选-指示变量(1=选择该项, 未选空/0)"
12.（多选，最多选3项）请问您为什么希望这份工作是全职？:其他（请注明：____{fillblank-832e}）,12,Q12_10,（多选，最多选3项）请问您为什么希望这份工作是全职？:其他（请注明,____{fillblank-832e}）,未知
12.（多选，最多选3项）请问您为什么希望这份工作是全职？:其他（请注明：____{fillblank-832e}）[选项填空],12,Q12_11,（多选，最多选3项）请问您为什么希望这份工作是全职？:其他（请注明,____{fillblank-832e}）[选项填空],未知
13.（多选，最多选3项）请问您为什么希望这份工作是兼职？:追求工作与生活平衡,13,Q13_01,（多选，最多选3项）请问您为什么希望这份工作是兼职？,追求工作与生活平衡,"多选-指示变量(1=选择该项, 未选空/0)"
13.（多选，最多选3项）请问您为什么希望这份工作是兼职？:需要时间照顾家庭（育儿、养老等）,13,Q13_02,（多选，最多选3项）请问您为什么希望这份工作是兼职？,需要时间照顾家庭（育儿、养老等）,"多选-指示变量(1=选择该项, 未选空/0)"
13.（多选，最多选3项）请问您为什么希望这份工作是兼职？:需要时间学习或深造,13,Q13_03,（多选，最多选3项）请问您为什么希望这份工作是兼职？,需要时间学习或深造,"多选-指示变量(1=选择该项, 未选空/0)"
13.（多选，最多选3项）请问您为什么希望这份工作是兼职？:看重工作时间和地点的灵活性,13,Q13_04,（多选，最多选3项）请问您为什么希望这份工作是兼职？,看重工作时间和地点的灵活性,"多选-指示变量(1=选择该项, 未选空/0)"
13.（多选，最多选3项）请问您为什么希望这份工作是兼职？:同时从事多份工作或发展副业,13,Q13_05,（多选，最多选3项）请问您为什么希望这份工作是兼职？,同时从事多份工作或发展副业,"多选-指示变量(1=选择该项, 未选空/0)"
13.（多选，最多选3项）请问您为什么希望这份工作是兼职？:减轻工作压力，保持身心健康,13,Q13_06,（多选，最多选3项）请问您为什么希望这份工作是兼职？,减轻工作压力，保持身心健康,"多选-指示变量(1=选择该项, 未选空/0)"
13.（多选，最多选3项）请问您为什么希望这份工作是兼职？:作为进入新行业或重返职场的过渡,13,Q13_07,（多选，最多选3项）请问您为什么希望这份工作是兼职？,作为进入新行业或重返职场的过渡,"多选-指示变量(1=选择该项, 未选空/0)"
13.（多选，最多选3项）请问您为什么希望这份工作是兼职？:已有其他主要收入来源,13,Q13_08,（多选，最多选3项）请问您为什么希望这份工作是兼职？,已有其他主要收入来源,"多选-指示变量(1=选择该项, 未选空/0)"
13.（多选，最多选3项）请问您为什么希望这份工作是兼职？:探索工作多样性或兴趣,13,Q13_09,（多选，最多选3项）请问您为什么希望这份工作是兼职？,探索工作多样性或兴趣,"多选-指示变量(1=选择该项, 未选空/0)"
13.（多选，最多选3项）请问您为什么希望这份工作是兼职？:避免职业倦怠，保持热情,13,Q13_10,（多选，最多选3项）请问您为什么希望这份工作是兼职？,避免职业倦怠，保持热情,"多选-指示变量(1=选择该项, 未选空/0)"
13.（多选，最多选3项）请问您为什么希望这份工作是兼职？:身体状况/精力限制,13,Q13_11,（多选，最多选3项）请问您为什么希望这份工作是兼职？,身体状况/精力限制,"多选-指示变量(1=选择该项, 未选空/0)"
13.（多选，最多选3项）请问您为什么希望这份工作是兼职？:增加收入但不愿承担全职责任,13,Q13_12,（多选，最多选3项）请问您为什么希望这份工作是兼职？,增加收入但不愿承担全职责任,"多选-指示变量(1=选择该项, 未选空/0)"
13.（多选，最多选3项）请问您为什么希望这份工作是兼职？:其他（请注明：____{fillblank-a8c1}）,13,Q13_13,（多选，最多选3项）请问您为什么希望这份工作是兼职？:其他（请注明,____{fillblank-a8c1}）,未知
13.（多选，最多选3项）请问您为什么希望这份工作是兼职？:其他（请注明：____{fillblank-a8c1}）[选项填空],13,Q13_14,（多选，最多选3项）请问您为什么希望这份工作是兼职？:其他（请注明,____{fillblank-a8c1}）[选项填空],未知
14.您希望它是线上的还是线下的？,14,Q14,您希望它是线上的还是线下的？,,离散编码(1~2)
15.（多选，最多选3项）请问您为什么希望这份工作是线上的？:节省通勤时间和成本,15,Q15_01,（多选，最多选3项）请问您为什么希望这份工作是线上的？,节省通勤时间和成本,"多选-指示变量(1=选择该项, 未选空/0)"
15.（多选，最多选3项）请问您为什么希望这份工作是线上的？:工作时间和地点更灵活自由,15,Q15_02,（多选，最多选3项）请问您为什么希望这份工作是线上的？,工作时间和地点更灵活自由,"多选-指示变量(1=选择该项, 未选空/0)"
15.（多选，最多选3项）请问您为什么希望这份工作是线上的？:能更好地平衡工作和生活/家庭,15,Q15_03,（多选，最多选3项）请问您为什么希望这份工作是线上的？,能更好地平衡工作和生活/家庭,"多选-指示变量(1=选择该项, 未选空/0)"
15.（多选，最多选3项）请问您为什么希望这份工作是线上的？:可以跨地域工作（不受居住地限制）,15,Q15_04,（多选，最多选3项）请问您为什么希望这份工作是线上的？,可以跨地域工作（不受居住地限制）,"多选-指示变量(1=选择该项, 未选空/0)"
15.（多选，最多选3项）请问您为什么希望这份工作是线上的？:工作环境更舒适自在（如在家）,15,Q15_05,（多选，最多选3项）请问您为什么希望这份工作是线上的？,工作环境更舒适自在（如在家）,"多选-指示变量(1=选择该项, 未选空/0)"
15.（多选，最多选3项）请问您为什么希望这份工作是线上的？:减少外界干扰，更能专注任务,15,Q15_06,（多选，最多选3项）请问您为什么希望这份工作是线上的？,减少外界干扰，更能专注任务,"多选-指示变量(1=选择该项, 未选空/0)"
15.（多选，最多选3项）请问您为什么希望这份工作是线上的？:更便于安排个人事务（如看病、接送等）,15,Q15_07,（多选，最多选3项）请问您为什么希望这份工作是线上的？,更便于安排个人事务（如看病、接送等）,"多选-指示变量(1=选择该项, 未选空/0)"
15.（多选，最多选3项）请问您为什么希望这份工作是线上的？:个人偏好（习惯/喜欢线上工作模式）,15,Q15_08,（多选，最多选3项）请问您为什么希望这份工作是线上的？,个人偏好（习惯/喜欢线上工作模式）,"多选-指示变量(1=选择该项, 未选空/0)"
15.（多选，最多选3项）请问您为什么希望这份工作是线上的？:其他（请注明：____{fillblank-e269}）,15,Q15_09,（多选，最多选3项）请问您为什么希望这份工作是线上的？:其他（请注明,____{fillblank-e269}）,未知
15.（多选，最多选3项）请问您为什么希望这份工作是线上的？:其他（请注明：____{fillblank-e269}）[选项填空],15,Q15_10,（多选，最多选3项）请问您为什么希望这份工作是线上的？:其他（请注明,____{fillblank-e269}）[选项填空],未知
16.（多选，最多选3项）请问您为什么希望这份工作是线下的？:促进面对面沟通和团队协作,16,Q16_01,（多选，最多选3项）请问您为什么希望这份工作是线下的？,促进面对面沟通和团队协作,"多选-指示变量(1=选择该项, 未选空/0)"
16.（多选，最多选3项）请问您为什么希望这份工作是线下的？:建立更紧密的同事关系和归属感,16,Q16_02,（多选，最多选3项）请问您为什么希望这份工作是线下的？,建立更紧密的同事关系和归属感,"多选-指示变量(1=选择该项, 未选空/0)"
16.（多选，最多选3项）请问您为什么希望这份工作是线下的？:工作内容或性质需要特定场所/设备（如实验室、机器、门店）,16,Q16_03,（多选，最多选3项）请问您为什么希望这份工作是线下的？,工作内容或性质需要特定场所/设备（如实验室、机器、门店）,"多选-指示变量(1=选择该项, 未选空/0)"
16.（多选，最多选3项）请问您为什么希望这份工作是线下的？:清晰分隔工作与生活空间,16,Q16_04,（多选，最多选3项）请问您为什么希望这份工作是线下的？,清晰分隔工作与生活空间,"多选-指示变量(1=选择该项, 未选空/0)"
16.（多选，最多选3项）请问您为什么希望这份工作是线下的？:需要现场指导或管理,16,Q16_05,（多选，最多选3项）请问您为什么希望这份工作是线下的？,需要现场指导或管理,"多选-指示变量(1=选择该项, 未选空/0)"
16.（多选，最多选3项）请问您为什么希望这份工作是线下的？:减少在家工作的干扰（如孩子、家务等）,16,Q16_06,（多选，最多选3项）请问您为什么希望这份工作是线下的？,减少在家工作的干扰（如孩子、家务等）,"多选-指示变量(1=选择该项, 未选空/0)"
16.（多选，最多选3项）请问您为什么希望这份工作是线下的？:享受公司提供的办公环境和资源,16,Q16_07,（多选，最多选3项）请问您为什么希望这份工作是线下的？,享受公司提供的办公环境和资源,"多选-指示变量(1=选择该项, 未选空/0)"
16.（多选，最多选3项）请问您为什么希望这份工作是线下的？:个人偏好（习惯/喜欢线下工作氛围）,16,Q16_08,（多选，最多选3项）请问您为什么希望这份工作是线下的？,个人偏好（习惯/喜欢线下工作氛围）,"多选-指示变量(1=选择该项, 未选空/0)"
16.（多选，最多选3项）请问您为什么希望这份工作是线下的？:工作性质要求必须线下完成（如制造、医护、服务等）,16,Q16_09,（多选，最多选3项）请问您为什么希望这份工作是线下的？,工作性质要求必须线下完成（如制造、医护、服务等）,"多选-指示变量(1=选择该项, 未选空/0)"
16.（多选，最多选3项）请问您为什么希望这份工作是线下的？:其他（请注明：____{fillblank-2202}）,16,Q16_10,（多选，最多选3项）请问您为什么希望这份工作是线下的？:其他（请注明,____{fillblank-2202}）,未知
16.（多选，最多选3项）请问您为什么希望这份工作是线下的？:其他（请注明：____{fillblank-2202}）[选项填空],16,Q16_11,（多选，最多选3项）请问您为什么希望这份工作是线下的？:其他（请注明,____{fillblank-2202}）[选项填空],未知
17.您最希望每周工作多少天？,17,Q17,您最希望每周工作多少天？,,离散编码(3~7)
18.您最希望每天工作多少个小时？,18,Q18,您最希望每天工作多少个小时？,,离散编码(3~10)
19.您最希望这份工作每个月的收入有多少元？,19,Q19,您最希望这份工作每个月的收入有多少元？,,数值型
20.您觉得这份工作中的社会保险（如基本养老保险、基本医疗保险、失业保险、工伤保险和生育保险）重要吗？,20,Q20,您觉得这份工作中的社会保险（如基本养老保险、基本医疗保险、失业保险、工伤保险和生育保险）重要吗？,,离散编码(1~4)
21.您觉得这份工作中，签订劳动合同重要吗？,21,Q21,您觉得这份工作中，签订劳动合同重要吗？,,离散编码(1~4)
22.您的学历是？,22,Q22,您的学历是？,,离散编码(1~7)
23.您以前有参加过工作吗？,23,Q23,您以前有参加过工作吗？,,离散编码(1~2)
24.您的累计工作年限（即参加工作的年数）一共多少年？,24,Q24,您的累计工作年限（即参加工作的年数）一共多少年？,,数值型
25.阅读以下工作内容，选择最符合您的实际情况的选项,25,Q25,阅读以下工作内容，选择最符合您的实际情况的选项,,离散编码(1~8)
26.阅读以下工作内容，选择最符合您的实际情况的选项,26,Q26,阅读以下工作内容，选择最符合您的实际情况的选项,,离散编码(1~7)
27.阅读以下工作内容，选择最符合您的实际情况的选项,27,Q27,阅读以下工作内容，选择最符合您的实际情况的选项,,离散编码(1~7)
28.阅读以下工作内容，选择最符合您的实际情况的选项,28,Q28,阅读以下工作内容，选择最符合您的实际情况的选项,,离散编码(1~7)
29.阅读以下工作内容，选择最符合您的实际情况的选项,29,Q29,阅读以下工作内容，选择最符合您的实际情况的选项,,离散编码(2~7)
30.本题请选择3分的选项,30,Q30,本题请选择3分的选项,,离散编码(4~7)
31.阅读以下工作内容，选择最符合您的实际情况的选项,31,Q31,阅读以下工作内容，选择最符合您的实际情况的选项,,离散编码(1~8)
32.阅读以下工作内容，选择最符合您的实际情况的选项,32,Q32,阅读以下工作内容，选择最符合您的实际情况的选项,,离散编码(1~8)
33.阅读以下工作内容，选择最符合您的实际情况的选项,33,Q33,阅读以下工作内容，选择最符合您的实际情况的选项,,离散编码(1~7)
34.您会使用手机、电脑等来上网吗？,34,Q34,您会使用手机、电脑等来上网吗？,,离散编码(1~2)
35.当您在网上搜索信息（如新闻、知识、解决方案）时，您评估信息来源可靠性和信息真实性的能力如何？,35,Q35,当您在网上搜索信息（如新闻、知识、解决方案）时，您评估信息来源可靠性和信息真实性的能力如何？,,离散编码(1~5)
36.您使用在线工具或软件（如文档协作、项目管理、在线会议、专业软件/APP）与他人合作完成工作或学习任务的熟练程度如何？,36,Q36,您使用在线工具或软件（如文档协作、项目管理、在线会议、专业软件/APP）与他人合作完成工作或学习任务的熟练程度如何？,,离散编码(1~5)
37.您在互联网上创作和分享原创内容（如撰写博客/公众号/帖子、制作发布图片/视频、编写代码、设计作品等）的经验和能力如何？,37,Q37,您在互联网上创作和分享原创内容（如撰写博客/公众号/帖子、制作发布图片/视频、编写代码、设计作品等）的经验和能力如何？,,离散编码(1~5)
38.您对保护个人隐私信息和防范网络安全风险（如诈骗、病毒、钓鱼链接）的意识和采取的措施如何？,38,Q38,您对保护个人隐私信息和防范网络安全风险（如诈骗、病毒、钓鱼链接）的意识和采取的措施如何？,,离散编码(1~5)
39.当您在使用数字设备或网络服务遇到技术问题（如软件无法使用、网络连接故障、设备设置问题）时，您通常如何解决？,39,Q39,当您在使用数字设备或网络服务遇到技术问题（如软件无法使用、网络连接故障、设备设置问题）时，您通常如何解决？,,离散编码(1~5)
40.您懂用电脑或手机做什么工作？:进行修图、视频剪辑的工作,40,Q40_01,您懂用电脑或手机做什么工作？,进行修图、视频剪辑的工作,"多选-指示变量(1=选择该项, 未选空/0)"
40.您懂用电脑或手机做什么工作？:在手机上销售自家商品（如农产品、手工品）,40,Q40_02,您懂用电脑或手机做什么工作？,在手机上销售自家商品（如农产品、手工品）,"多选-指示变量(1=选择该项, 未选空/0)"
40.您懂用电脑或手机做什么工作？:通过直播介绍商品,40,Q40_03,您懂用电脑或手机做什么工作？,通过直播介绍商品,"多选-指示变量(1=选择该项, 未选空/0)"
40.您懂用电脑或手机做什么工作？:用手机记录数据（如大棚温度、农村路况）,40,Q40_04,您懂用电脑或手机做什么工作？,用手机记录数据（如大棚温度、农村路况）,"多选-指示变量(1=选择该项, 未选空/0)"
40.您懂用电脑或手机做什么工作？:通过手机视频教别人手工、烹饪等技能,40,Q40_05,您懂用电脑或手机做什么工作？,通过手机视频教别人手工、烹饪等技能,"多选-指示变量(1=选择该项, 未选空/0)"
40.您懂用电脑或手机做什么工作？:进行语言类标注工作（如字幕制作、方言翻译等）,40,Q40_06,您懂用电脑或手机做什么工作？,进行语言类标注工作（如字幕制作、方言翻译等）,"多选-指示变量(1=选择该项, 未选空/0)"
40.您懂用电脑或手机做什么工作？:做在线客服工作,40,Q40_07,您懂用电脑或手机做什么工作？,做在线客服工作,"多选-指示变量(1=选择该项, 未选空/0)"
40.您懂用电脑或手机做什么工作？:其他（请填写：____{fillblank-58e0}）,40,Q40_08,您懂用电脑或手机做什么工作？:其他（请填写,____{fillblank-58e0}）,未知
40.您懂用电脑或手机做什么工作？:其他（请填写：____{fillblank-58e0}）[选项填空],40,Q40_09,您懂用电脑或手机做什么工作？:其他（请填写,____{fillblank-58e0}）[选项填空],未知
41.以下软件中，您会使用哪些？:手机文件管理器,41,Q41_01,以下软件中，您会使用哪些？,手机文件管理器,"多选-指示变量(1=选择该项, 未选空/0)"
41.以下软件中，您会使用哪些？:PowerPoint（PPT）,41,Q41_02,以下软件中，您会使用哪些？,PowerPoint（PPT）,"多选-指示变量(1=选择该项, 未选空/0)"
41.以下软件中，您会使用哪些？:Word,41,Q41_03,以下软件中，您会使用哪些？,Word,"多选-指示变量(1=选择该项, 未选空/0)"
41.以下软件中，您会使用哪些？:Excel,41,Q41_04,以下软件中，您会使用哪些？,Excel,"多选-指示变量(1=选择该项, 未选空/0)"
41.以下软件中，您会使用哪些？:WPS,41,Q41_05,以下软件中，您会使用哪些？,WPS,"多选-指示变量(1=选择该项, 未选空/0)"
41.以下软件中，您会使用哪些？:PS/美图秀秀/醒图等,41,Q41_06,以下软件中，您会使用哪些？,PS/美图秀秀/醒图等,"多选-指示变量(1=选择该项, 未选空/0)"
41.以下软件中，您会使用哪些？:Pr/剪映/必剪等,41,Q41_07,以下软件中，您会使用哪些？,Pr/剪映/必剪等,"多选-指示变量(1=选择该项, 未选空/0)"
41.以下软件中，您会使用哪些？:抖音/快手,41,Q41_08,以下软件中，您会使用哪些？,抖音/快手,"多选-指示变量(1=选择该项, 未选空/0)"
41.以下软件中，您会使用哪些？:淘宝/京东/拼多多,41,Q41_09,以下软件中，您会使用哪些？,淘宝/京东/拼多多,"多选-指示变量(1=选择该项, 未选空/0)"
41.以下软件中，您会使用哪些？:支付宝,41,Q41_10,以下软件中，您会使用哪些？,支付宝,"多选-指示变量(1=选择该项, 未选空/0)"
41.以下软件中，您会使用哪些？:腾讯会议,41,Q41_11,以下软件中，您会使用哪些？,腾讯会议,"多选-指示变量(1=选择该项, 未选空/0)"
